Date,Returns
2018-01-02,-1.7647058823529411
2018-01-03,0.7174869645693199
2018-01-04,0.1779286963872148
2018-01-05,-0.7983477556406535
2018-01-08,0.1483679525222552
2018-01-09,0.8592574508101852
2018-01-10,-2.3711961237673593
2018-01-11,-0.9317763038165557
2018-01-12,-1.8791966790320889
2018-01-15,-1.9060503126649617
2018-01-16,4.284725002765458
2018-01-17,3.504134249096074
2018-01-18,-1.0476151723710316
2018-01-19,0.7989773246295
2018-01-22,-2.6582259166089797
2018-01-23,-1.5831967355361471
2018-01-24,-2.2295041944159837
2018-01-25,-0.9863924817974065
2018-01-26,-1.300030089518929
2018-01-29,-0.27604824936716565
2018-01-30,-0.5608046457746577
2018-01-31,-0.6293663611778846
2018-02-01,0.8771929824561403
2018-02-02,-3.362222602090555
2018-02-05,1.0046600898204445
2018-02-06,10.215664489984622
2018-02-07,0.13490519274346544
2018-02-08,1.0097610024803365
2018-02-09,1.1463229354411246
2018-02-12,0.9586756682592975
2018-02-13,-0.7201349286518003
2018-02-14,-1.1158596251556177
2018-02-15,1.1269452300025915
2018-02-16,1.3992901013207468
2018-02-19,0.0
2018-02-20,-0.03214596642674089
2018-02-21,-0.6769845328420089
2018-02-22,-0.9129501790357878
2018-02-23,-0.03279964103560387
2018-02-26,1.3106159370945947
2018-02-27,0.2914586948319151
2018-02-28,3.559870550161812
2018-03-01,-0.6299212598425197
2018-03-02,-1.9420585752886903
2018-03-05,1.4939935676199272
2018-03-06,-2.8843125526198494
2018-03-07,1.6039259890292552
2018-03-08,0.7397936171438707
2018-03-09,-0.7110477481745427
2018-03-12,-0.41922550305042916
2018-03-13,-1.8536625063516259
2018-03-14,-1.74744081974263
2018-03-15,3.095240171263818
2018-03-16,1.1881208262427805
2018-03-19,0.8809175226855629
2018-03-20,-1.4239462448169498
2018-03-21,-0.3939632905402623
2018-03-22,0.46235946846197645
2018-03-23,6.381576939633018
2018-03-26,0.6521758085452252
2018-03-27,-0.40123080029899694
2018-03-28,0.7129534251250856
2018-04-03,-0.06250381469726562
2018-04-04,-0.2503874156396713
2018-04-05,2.589699779397426
2018-04-06,3.1973204004716655
2018-04-09,-0.855707863296736
2018-04-10,1.4814814814814816
2018-04-11,-0.9623761597280635
2018-04-12,-0.44065805725488644
2018-04-13,0.8501887553775934
2018-04-16,-0.496353929060219
2018-04-17,2.074802844145432
2018-04-18,2.0705763283445826
2018-04-19,-0.7999965122767858
2018-04-20,-0.20207323954581313
2018-04-23,0.0
2018-04-24,-0.430416068866571
2018-04-25,0.5491311839550217
2018-04-26,-0.48696997344857107
2018-04-30,-0.6647363563493497
2018-05-01,0.1455604075691412
2018-05-02,-0.8985524937726449
2018-05-03,-0.029233002552290006
2018-05-04,-0.6438431748425849
2018-05-07,1.1143659216917154
2018-05-08,-0.9857912312705993
2018-05-09,1.020705763283446
2018-05-14,-4.48662799995155
2018-05-15,-10.952380952380953
2018-05-16,-3.8146211076760252
2018-05-17,-5.444443314163773
2018-05-18,-2.7184466019417477
2018-05-22,0.1984126984126984
2018-05-23,2.533647562091358
2018-05-24,1.3469400211256377
2018-05-25,-0.9188985312486035
2018-05-28,-2.0866761685082222
2018-05-29,-1.255920516822127
2018-05-30,0.9380862800682748
2018-05-31,2.704920534227727
2018-06-01,0.5544530283106548
2018-06-04,-1.4189952258694647
2018-06-06,4.9832469616447845
2018-06-07,-0.15904329880093304
2018-06-08,0.39968026067037316
2018-06-11,0.4003202513143296
2018-06-12,2.147968984719956
2018-06-13,0.7766990291262136
2018-06-14,-4.383560449409858
2018-06-15,-1.1258955987717503
2018-06-18,0.4555833992209265
2018-06-19,0.9555476032068182
2018-06-20,-0.737101996008334
2018-06-21,-0.9621314651036219
2018-06-22,1.01491808988274
2018-06-25,-0.8647338071799423
2018-06-26,-2.374998728434245
2018-06-27,-4.123929015591601
2018-06-28,0.0
2018-06-29,-0.3576231840284209
2018-07-02,-0.6101722501765409
2018-07-03,-0.9934508821674881
2018-07-04,-0.3639686263195503
2018-07-05,-4.56818320534446
2018-07-06,-0.4761904761904762
2018-07-09,0.0
2018-07-10,-0.7891004816406477
2018-07-11,6.835745843712273
2018-07-12,-0.6532989268660908
2018-07-13,-0.31789144320774954
2018-07-16,0.43270186064093585
2018-07-17,1.5681804310191763
2018-07-18,1.138648397636349
2018-07-19,0.2869730227304209
2018-07-20,1.6729047562684511
2018-07-23,-1.9268226919437754
2018-07-24,2.8401571003490647
2018-07-25,0.17090104305442813
2018-07-26,1.0786489422401813
2018-07-27,-0.06632496154435454
2018-07-30,-0.2654306991441375
2018-07-31,0.8235059665160969
2018-08-01,-2.9665760575451916
2018-08-02,0.684931506849315
2018-08-03,-3.697819474673953
2018-08-06,0.1630589860088177
2018-08-07,-7.142857142857142
2018-08-08,4.753143118641879
2018-08-09,-1.8836531282461912
2018-08-10,0.7845386266268739
2018-08-13,2.2284122562674096
2018-08-14,-0.6243180866107769
2018-08-15,1.8027877611259897
2018-08-16,1.7689643515268472
2018-08-17,-1.663143610345635
2018-08-20,-0.33837018980790656
2018-08-21,-0.8222827860784151
2018-08-22,1.038613554323402
2018-08-23,0.7368388928865282
2018-08-24,1.590614368582953
2018-08-27,0.8704541329636639
2018-08-28,0.0
2018-08-29,-3.1139209602452387
2018-08-30,1.8537874943905026
2018-08-31,-1.59014664952755
2018-09-03,-0.41666825612386066
2018-09-04,0.6005190059970775
2018-09-05,0.8311720018263133
2018-09-06,1.714287299614448
2018-09-07,-0.5892871803492895
2018-09-10,0.361195530040957
2018-09-11,-2.836513756125353
